Date,Region,State,Product,Units Sold,Unit Price,Dealer,,,,,,,,,,,,,,,
1/20/2023,North,Himachal,Maruti Suzuki?Ertiga (MPV),92,13.25,Vision Auto Store,,,,,,,,,,,,,,,
1/21/2023,South,Karnataka,Hyundai?Creta (SUV + EV),32,13.19,SuperRide Auto Mart,,,,,,,,,,,,,,,
1/22/2023,East,Bihar,Maruti Suzuki?Ertiga (MPV),100,13.25,Prime Car Point,,,,,,,,,,,,,,,
1/23/2023,East,Jharkhand,Maruti Suzuki?Ertiga (MPV),84,13.25,Reliance Auto Arena,,,,,,,,,,,,,,,
1/24/2023,South,Tamil Nadu,Tata?Nexon (compact SUV + EV),44,15.6,DriveZone Automobiles,,,,,,,,,,,,,,,
1/25/2023,East,Bihar,Maruti Suzuki?Wagon?R (hatchback),53,7.5,Bharat Auto Hub,,,,,,,,,,,,,,,
1/26/2023,North,Haryana,Maruti Suzuki?Brezza (compact SUV),77,10.11,Reliance Auto Arena,,,,,,,,,,,,,,,
1/27/2023,West,Goa,Maruti Suzuki?Swift (hatchback),42,9.65,AutoCraft India,,,,,,,,,,,,,,,
1/28/2023,West,Goa,Hyundai?Creta (SUV + EV),24,13.19,MaxAuto India,,,,,,,,,,,,,,,
1/29/2023,North,Delhi,Tata?Punch (micro SUV + EV),88,10.32,Shree Sai Motors,,,,,,,,,,,,,,,
1/30/2023,South,Andhra Pradesh,Maruti Suzuki?Dzire (sedan),30,10.19,FastLane Car Dealers,,,,,,,,,,,,,,,
1/31/2023,North,Haryana,Maruti Suzuki?Ertiga (MPV),85,13.25,FastLane Car Dealers,,,,,,,,,,,,,,,
2/1/2023,West,Goa,Maruti Suzuki?Fronx (sub?compact SUV),39,13.06,AutoBhavan,,,,,,,,,,,,,,,
2/2/2023,North,Haryana,Tata?Nexon (compact SUV + EV),79,15.6,Shree Sai Motors,,,,,,,,,,,,,,,
2/3/2023,West,Goa,Maruti Suzuki?Brezza (compact SUV),58,10.11,Vinayak Wheels,,,,,,,,,,,,,,,
2/4/2023,East,Odisha,Tata?Nexon (compact SUV + EV),58,15.6,PaceAuto Dealers,,,,,,,,,,,,,,,
2/5/2023,West,Rajasthan,Maruti Suzuki?Ertiga (MPV),71,13.25,Vinayak Wheels,,,,,,,,,,,,,,,
2/6/2023,West,Gujarat,Mahindra?Scorpio (Classic & N variants),56,16.5,MaxAuto India,,,,,,,,,,,,,,,
2/7/2023,South,Karnataka,Hyundai?Creta (SUV + EV),88,13.19,AutoCraft India,,,,,,,,,,,,,,,
2/8/2023,North,Punjab,Maruti Suzuki?Fronx (sub?compact SUV),66,13.06,Vision Auto Store,,,,,,,,,,,,,,,
2/9/2023,North,Delhi,Tata?Punch (micro SUV + EV),98,10.32,Kumar Car World,,,,,,,,,,,,,,,
2/10/2023,West,Maharashtra,Maruti Suzuki?Ertiga (MPV),26,13.25,Crystal Motors,,,,,,,,,,,,,,,
2/11/2023,East,Odisha,Maruti Suzuki?Brezza (compact SUV),46,10.11,SpeedWheels Motors,,,,,,,,,,,,,,,
2/12/2023,West,Goa,Tata?Punch (micro SUV + EV),86,10.32,Shree Sai Motors,,,,,,,,,,,,,,,
2/13/2023,South,Kerala,Maruti Suzuki?Brezza (compact SUV),56,10.11,Riderz Car Gallery,,,,,,,,,,,,,,,
2/14/2023,South,Telangana,Hyundai?Creta (SUV + EV),79,13.19,ValueMax Wheels,,,,,,,,,,,,,,,
2/15/2023,West,Gujarat,Maruti Suzuki?Brezza (compact SUV),20,10.11,Vision Auto Store,,,,,,,,,,,,,,,
2/16/2023,West,Maharashtra,Maruti Suzuki?Brezza (compact SUV),74,10.11,AutoBhavan,,,,,,,,,,,,,,,
2/17/2023,North,Himachal,Tata?Punch (micro SUV + EV),43,10.32,Sapphire Auto Mart,,,,,,,,,,,,,,,
2/18/2023,West,Maharashtra,Maruti Suzuki?Fronx (sub?compact SUV),73,13.06,TrustLine Motors,,,,,,,,,,,,,,,
2/19/2023,East,Bihar,Maruti Suzuki?Ertiga (MPV),55,13.25,SmartDrive Showroom,,,,,,,,,,,,,,,
2/20/2023,South,Tamil Nadu,Mahindra?Scorpio (Classic & N variants),45,16.5,Kumar Car World,,,,,,,,,,,,,,,
2/21/2023,South,Andhra Pradesh,Maruti Suzuki?Dzire (sedan),64,10.19,DreamDrive Auto,,,,,,,,,,,,,,,
2/22/2023,North,Delhi,Maruti Suzuki?Ertiga (MPV),97,13.25,Vision Auto Store,,,,,,,,,,,,,,,
2/23/2023,North,Haryana,Maruti Suzuki?Swift (hatchback),27,9.65,Sapphire Auto Mart,,,,,,,,,,,,,,,
2/24/2023,North,Haryana,Tata?Punch (micro SUV + EV),73,10.32,FastLane Car Dealers,,,,,,,,,,,,,,,
2/25/2023,West,Rajasthan,Maruti Suzuki?Dzire (sedan),50,10.19,Om Car Traders,,,,,,,,,,,,,,,
2/26/2023,South,Telangana,Hyundai?Creta (SUV + EV),26,13.19,Greenline Cars,,,,,,,,,,,,,,,
2/27/2023,West,Goa,Maruti Suzuki?Wagon?R (hatchback),12,7.5,Kumar Car World,,,,,,,,,,,,,,,
2/28/2023,North,Punjab,Maruti Suzuki?Ertiga (MPV),71,13.25,Metro Auto Hub,,,,,,,,,,,,,,,
3/1/2023,South,Andhra Pradesh,Maruti Suzuki?Wagon?R (hatchback),40,7.5,Prime Car Point,,,,,,,,,,,,,,,
3/2/2023,North,Himachal,Hyundai?Creta (SUV + EV),16,13.19,CityDrive Dealers,,,,,,,,,,,,,,,
3/3/2023,West,Gujarat,Maruti Suzuki?Wagon?R (hatchback),15,7.5,Heritage Wheels,,,,,,,,,,,,,,,
3/4/2023,North,Himachal,Hyundai?Creta (SUV + EV),86,13.19,Greenline Cars,,,,,,,,,,,,,,,
3/5/2023,West,Goa,Hyundai?Creta (SUV + EV),81,13.19,DriveZone Automobiles,,,,,,,,,,,,,,,
3/6/2023,West,Goa,Maruti Suzuki?Swift (hatchback),92,9.65,MegaDrive Showroom,,,,,,,,,,,,,,,
3/7/2023,North,Himachal,Mahindra?Scorpio (Classic & N variants),44,16.5,TrustLine Motors,,,,,,,,,,,,,,,
3/8/2023,East,Bihar,Tata?Nexon (compact SUV + EV),40,15.6,Royal Auto Junction,,,,,,,,,,,,,,,
3/9/2023,West,Rajasthan,Tata?Nexon (compact SUV + EV),71,15.6,Shree Sai Motors,,,,,,,,,,,,,,,
3/10/2023,South,Telangana,Maruti Suzuki?Swift (hatchback),10,9.65,DriveZone Automobiles,,,,,,,,,,,,,,,
3/11/2023,East,Jharkhand,Mahindra?Scorpio (Classic & N variants),65,16.5,FastLane Car Dealers,,,,,,,,,,,,,,,
3/12/2023,North,Himachal,Tata?Nexon (compact SUV + EV),13,15.6,Riderz Car Gallery,,,,,,,,,,,,,,,
3/13/2023,South,Kerala,Maruti Suzuki?Swift (hatchback),81,9.65,Starline Auto World,,,,,,,,,,,,,,,
3/14/2023,East,Bihar,Maruti Suzuki?Brezza (compact SUV),99,10.11,PaceAuto Dealers,,,,,,,,,,,,,,,
3/15/2023,West,Goa,Maruti Suzuki?Dzire (sedan),48,10.19,PaceAuto Dealers,,,,,,,,,,,,,,,
3/16/2023,South,Telangana,Maruti Suzuki?Dzire (sedan),39,10.19,Greenline Cars,,,,,,,,,,,,,,,
3/17/2023,North,Delhi,Maruti Suzuki?Fronx (sub?compact SUV),52,13.06,Prime Car Point,,,,,,,,,,,,,,,
3/18/2023,East,Bihar,Tata?Punch (micro SUV + EV),29,10.32,Shree Sai Motors,,,,,,,,,,,,,,,
3/19/2023,East,West Bengal,Maruti Suzuki?Wagon?R (hatchback),64,7.5,Vision Auto Store,,,,,,,,,,,,,,,
3/20/2023,East,Jharkhand,Hyundai?Creta (SUV + EV),39,13.19,TrustLine Motors,,,,,,,,,,,,,,,
3/21/2023,South,Andhra Pradesh,Maruti Suzuki?Wagon?R (hatchback),66,7.5,Bharat Auto Hub,,,,,,,,,,,,,,,
3/22/2023,North,Uttar Pradesh,Hyundai?Creta (SUV + EV),98,13.19,Prime Car Point,,,,,,,,,,,,,,,
3/23/2023,West,Goa,Hyundai?Creta (SUV + EV),46,13.19,AutoTrendz,,,,,,,,,,,,,,,
3/24/2023,East,Odisha,Maruti Suzuki?Swift (hatchback),72,9.65,CityDrive Dealers,,,,,,,,,,,,,,,
3/25/2023,South,Andhra Pradesh,Tata?Punch (micro SUV + EV),57,10.32,Brightway Motors,,,,,,,,,,,,,,,
3/26/2023,West,Goa,Maruti Suzuki?Wagon?R (hatchback),53,7.5,Kumar Car World,,,,,,,,,,,,,,,
3/27/2023,South,Kerala,Mahindra?Scorpio (Classic & N variants),54,16.5,Skyline Motors,,,,,,,,,,,,,,,
3/28/2023,West,Rajasthan,Maruti Suzuki?Dzire (sedan),34,10.19,Starline Auto World,,,,,,,,,,,,,,,
3/29/2023,East,Bihar,Tata?Punch (micro SUV + EV),83,10.32,Bharat Auto Hub,,,,,,,,,,,,,,,
3/30/2023,East,West Bengal,Maruti Suzuki?Wagon?R (hatchback),11,7.5,Elite Motors India,,,,,,,,,,,,,,,
3/31/2023,North,Delhi,Tata?Punch (micro SUV + EV),13,10.32,Infinity Auto Plaza,,,,,,,,,,,,,,,
4/1/2023,South,Telangana,Tata?Punch (micro SUV + EV),48,10.32,Apex Auto Traders,,,,,,,,,,,,,,,
4/2/2023,North,Uttar Pradesh,Tata?Nexon (compact SUV + EV),30,15.6,SuperRide Auto Mart,,,,,,,,,,,,,,,
4/3/2023,West,Rajasthan,Tata?Punch (micro SUV + EV),69,10.32,SpeedWheels Motors,,,,,,,,,,,,,,,
4/4/2023,North,Punjab,Maruti Suzuki?Wagon?R (hatchback),39,7.5,Sunshine Auto Mart,,,,,,,,,,,,,,,
4/5/2023,South,Kerala,Maruti Suzuki?Dzire (sedan),27,10.19,Dynamic Wheels,,,,,,,,,,,,,,,
4/6/2023,West,Gujarat,Maruti Suzuki?Wagon?R (hatchback),56,7.5,Riderz Car Gallery,,,,,,,,,,,,,,,
4/7/2023,South,Telangana,Mahindra?Scorpio (Classic & N variants),79,16.5,Bharat Auto Hub,,,,,,,,,,,,,,,
4/8/2023,South,Karnataka,Maruti Suzuki?Dzire (sedan),25,10.19,Infinity Auto Plaza,,,,,,,,,,,,,,,
4/9/2023,South,Tamil Nadu,Maruti Suzuki?Ertiga (MPV),65,13.25,Sunshine Auto Mart,,,,,,,,,,,,,,,
4/10/2023,South,Andhra Pradesh,Tata?Punch (micro SUV + EV),38,10.32,Riderz Car Gallery,,,,,,,,,,,,,,,
